code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique,classe_therapeutique,taux_remboursement_cnss
6118001171132,PFIZER,REFACTO AF 250 UI,MOROCTOCOG ALFA,250,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,1855.00,1600.00,1855.00,A,FACTEUR DE COAGULATION,70
6118001171149,PFIZER,REFACTO AF 500 UI,MOROCTOCOG ALFA,500,UI,POUDRE POUR SOLUTION INJECTABLE,1 BOITE 1 SERINGUE PREREMPLIE,3520.00,3211.00,3520.00,A,FACTEUR DE COAGULATION,70
6118000400196,PHARMIS,REGOR 35 MG,RISEDRONATE,35,MG,COMPRIME PELLICULE,1 BOITE 12 COMPRIME PELLICULE,441.00,293.00,441.00,A,BIPHOSPHONATE,70
6118000400189,PHARMIS,REGOR 35 MG,RISEDRONATE,35,MG,COMPRIME PELLICULE,1 BOITE 4 COMPRIME PELLICULE,177.60,111.00,177.60,A,BIPHOSPHONATE,70
6118000190844,GALENICA,REGULAX,TEGUMENTS DISPAGHULL,3.5,G ,POUDRE POUR SUSPENSION BUVABLE,1 BOITE 20 SACHET,52.80,33.00,52.80,N,LAXATIF MUCILAGINEUX,0
6118000050841,PHI,REJUVA-A,TRETINOINE,0.025,%,CREME,1 TUBE 25 G,213.00,133.20,213.00,N,ANTIACNEIQUE LOCAL,0
6118000060833,AVENTIS,RELAXOL,PARACETAMOL,500 ,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 20 COMPRIME,49.60,31.00,34.60,A,ANALGESIQUE/MYORELAXANT,0
6118000060833,AVENTIS,RELAXOL,THIOCOLCHICOSIDE, 2,MG,COMPRIME ENROBE GASTRO-RESISTANT,1 BOITE 20 COMPRIME,49.60,31.00,34.60,A,ANALGESIQUE/MYORELAXANT,0
6118001140947,GSK,RELENZA,ZANAMIVIR,5,MG,POUDRE POUR INHALATION,1 DISTRIBUTEUR 20 DOSE,213.00,133.20,213.00,A,ANTIVIRAL,70
6118001400188,PHARMIS,RELIDOMIDE 10 (10 MG),LENALIDOMIDE,10,MG,GELULE,1 BOITE 7 GELULE,6258.00,6031.00,6258.00,A,IMMUNOMODULATEUR,70
6118001400201,PHARMIS,RELIDOMIDE 10 (10 MG),LENALIDOMIDE,10,MG,GELULE,1 BOITE 42 GELULE,29737.00,29161.00,29737.00,A,IMMUNOMODULATEUR,70
6118001400218,PHARMIS,RELIDOMIDE 10 (10 MG),LENALIDOMIDE,10,MG,GELULE,1 BOITE 63 GELULE,43405.00,42562.00,43405.00,A,IMMUNOMODULATEUR,70
6118001400195,PHARMIS,RELIDOMIDE 10 (10MG),LENALIDOMIDE,10,MG,GELULE,1 BOITE 21 GELULE,16215.00,15905.00,16215.00,A,IMMUNOMODULATEUR,70
6118001400249,PHARMIS,RELIDOMIDE 15 (15 MG),LENALIDOMIDE,15,MG,GELULE,1 BOITE 42 GELULE,31297.00,30691.00,31297.00,A,IMMUNOMODULATEUR,70
6118001400225,PHARMIS,RELIDOMIDE 15 (15 MG),LENALIDOMIDE,15,MG,GELULE,1 BOITE 7 GELULE,6584.00,6366.00,6584.00,A,IMMUNOMODULATEUR,70
6118001400256,PHARMIS,RELIDOMIDE 15 (15 MG),LENALIDOMIDE,15,MG,GELULE,1 BOITE 63 GELULE,45692.00,44804.00,45692.00,A,IMMUNOMODULATEUR,70
6118001400232,PHARMIS,RELIDOMIDE 15 (15MG),LENALIDOMIDE,15,MG,GELULE,1 BOITE 21 GELULE,17057.00,16731.00,17057.00,A,IMMUNOMODULATEUR,70
6118001400263,PHARMIS,RELIDOMIDE 25 (25 MG),LENALIDOMIDE,25,MG,GELULE,1 BOITE 7 GELULE,7227.00,7028.00,7227.00,A,IMMUNOMODULATEUR,70
6118001400287,PHARMIS,RELIDOMIDE 25 (25 MG),LENALIDOMIDE,25,MG,GELULE,1 BOITE 42 GELULE,34388.00,33722.00,34388.00,A,IMMUNOMODULATEUR,70
6118001400294,PHARMIS,RELIDOMIDE 25 (25 MG),LENALIDOMIDE,25,MG,GELULE,1 BOITE 63 GELULE,50224.00,49247.00,50224.00,A,IMMUNOMODULATEUR,70
6118001400270,PHARMIS,RELIDOMIDE 25 (25MG),LENALIDOMIDE,25,MG,GELULE,1 BOITE 21 GELULE,18725.00,18366.00,18725.00,A,IMMUNOMODULATEUR,70
6118001400164,PHARMIS,RELIDOMIDE 5 (5 MG),LENALIDOMIDE,5,MG,GELULE,1 BOITE 42 GELULE,28362.00,27813.00,28362.00,A,IMMUNOMODULATEUR,70
6118001400157,PHARMIS,RELIDOMIDE 5 (5MG),LENALIDOMIDE,5,MG,GELULE,1 BOITE 21 GELULE,15473.00,15178.00,15473.00,A,IMMUNOMODULATEUR,70
6118001400140,PHARMIS,RELIDOMIDE 5 (5MG),LENALIDOMIDE,5,MG,GELULE,1 BOITE 7 GELULE,5972.00,5736.00,5972.00,A,IMMUNOMODULATEUR,70
