nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
SYMBICORT TURBUHALER,100  /  6 µG PAR DOSE,POUDRE POUR INHALATION,BUDESONIDE // FORMOTEROL (FUMARATE DIHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,FLACON DE 120 DOSES,PP,"243,00 DH","151,90 DH","144,64 DH",0%,-,419
SYMBICORT TURBUHALER,200  /  6 µG,POUDRE POUR INHALATION,BUDESONIDE // FORMOTEROL (FUMARATE DIHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,FLACON DE 120 DOSES,PP,"297,00 DH","197,80 DH","188,37 DH",0%,-,419
SYMBICORT TURBUHALER,400  /  12 µG PAR DOSE,POUDRE POUR INHALATION,BUDESONIDE // FORMOTEROL (FUMARATE DIHYDRATE),PNEUMOLOGIE-ALLERGOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,FLACON DE 60 DOSES,PP,"297,00 DH","197,80 DH","188,37 DH",0%,-,419
SYNACTHEN,1   MG,SOLUTE INJECTABLE,TETRACOSACTIDE,NA,NOVARTIS PHARMA,Retiré du Marché,AMM RETIREE,BOITE DE 1 AMPOULE,PP,"44,20 DH","27,60 DH","26,31 DH",0%,-,419
SYNAGIS,100   MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,PALIVIZUMAB,INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,FLACON + AMPOULE,PP,5.419.00 DH,5.167.00 DH,4.921.07 DH,0%,-,419
SYNAGIS,50   MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,PALIVIZUMAB,INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Non Commercialisé,AMM ENREGISTREE,FLACON + AMPOULE,PP,3.352.00 DH,3.039.00 DH,2.895.06 DH,0%,-,419
SYNAGIS,100   MG  /   ML,"SOLUTION INJECTABLE EN FLACON DE 0,5 ML",PALIVIZUMAB,INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 1,PP,4.169.00 DH,3.880.00 DH,3.696.00 DH,0%,-,419
SYNAGIS,100   MG  /   ML,SOLUTION INJECTABLE EN FLACON DE 1 ML,PALIVIZUMAB,INFECTIOLOGIE-PARASITOLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 1,PP,7.333.00 DH,7.137.00 DH,6.798.00 DH,0%,-,419
SYNFLORIX,-,SUSPENSION INJECTABLE EN FLACON,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 1 FLACON DE 0,5 ML",VACCIN,"456,00 DH","303,00 DH","289,13 DH",0%,-,419
SYNFLORIX,-,SUSPENSION INJECTABLE EN FLACON,VACCIN ( PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT ),VACCINS,GSK,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 10 FLACONS DE 0,5 ML",VACCIN,2.963.00 DH,2.638.00 DH,2.512.93 DH,0%,-,419
