nom,dosage,forme,substance_active,classe_therapeutique,epi_laboratoire,statut_commercialisation,statut_amm,presentation,pp_gn,ppv,ph,pfht,tva,lien_rcp_naf,source_page
ARMOPHYLLINE,300   MG,GELULE,THEOPHYLLINE,PNEUMOLOGIE-ALLERGOLOGIE,GALENICA,AMM sans prix,AMM ENREGISTREE,BOITE DE 30,-,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,39
ARMOPHYLLINE,50   MG,GELULE,THEOPHYLLINE,PNEUMOLOGIE-ALLERGOLOGIE,GALENICA,AMM sans prix,AMM ENREGISTREE,BOITE DE 30,-,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,39
ARNIGEL,-,GEL,HOMEO,DERMATOLOGIE-VENEROLOGIE,BOTTU,Commercialisé,AMM ENREGISTREE,TUBE DE 45 G,PP,"42,00 DH","26,30 DH","25,03 DH",0%,-,39
AROMASINE,25   MG,COMPRIME PELLICULE,EXEMESTANE,CANCEROLOGIE,PFIZER,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"797,00 DH","530,00 DH","504,96 DH",0%,-,39
ARPADA,10   MG,COMPRIME SECABLE,ARIPIPRAZOLE,PSYCHIATRIE,RIM PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"357,00 DH","237,00 DH","226,57 DH",0%,-,39
ART,50   MG,GELULE,DIACERHEINE,RHUMATOLOGIE,PROMOPHARM,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"146,90 DH","91,80 DH","87,44 DH",0%,-,39
ARTANE,5   MG,COMPRIME,TRIHEXYPHENIDYLE (HYDROCHLORIDE),NEUROLOGIE,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"12,40 DH","7,80 DH","7,40 DH",0%,Consulter le document,39
ARTELAC,"3,20   MG",COLLYRE,HYPROMELLOSE,OPHTALMOLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,FLACON DE 10ML,PP,"26,90 DH","16,80 DH","16,02 DH",0%,-,39
ARTEMON,10   MG  /  10   MG,COMPRIME EN PILULIER,PERINDOPRIL // AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"211,00 DH","132,20 DH","125,87 DH",0%,-,39
ARTEMON,10   MG  /  5   MG,COMPRIME EN PILULIER,PERINDOPRIL // AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"206,00 DH","129,00 DH","122,85 DH",0%,-,39
ARTEMON,5   MG  /  10   MG,COMPRIME EN PILULIER,PERINDOPRIL // AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"158,10 DH","98,80 DH","94,10 DH",0%,-,39
ARTEMON,5   MG  /  5   MG,COMPRIME EN PILULIER,PERINDOPRIL // AMLODIPINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,STERIPHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"140,20 DH","87,60 DH","83,48 DH",0%,-,39
ARTESUNATE - AMODIAQUINE WINTHROP,100   MG  /  270   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boîte de 3,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,39
ARTESUNATE - AMODIAQUINE WINTHROP,100   MG  /  270   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boîte de 6,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,39
ARTESUNATE - AMODIAQUINE WINTHROP,100   MG  /  270   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boîte de 30,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,39
ARTESUNATE - AMODIAQUINE WINTHROP,100   MG  /  270   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boîte de 60,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,100   MG  /  270   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boîte de 75,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,"25   MG  /  67,5   MG",COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 3,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,"25   MG  /  67,5   MG",COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 30,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,"25   MG  /  67,5   MG",COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 75,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,50   MG  /  135   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 3,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,50   MG  /  135   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 30,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTESUNATE - AMODIAQUINE WINTHROP,50   MG  /  135   MG,COMPRIME BI-COUCHE,ARTESUNATE // AMODIAQUINE,INFECTIOLOGIE-PARASITOLOGIE,SANOFI AVENTIS,AMM sans prix,AMM ENREGISTREE,Boite de 75,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,40
ARTHRODONT,0.01,PATE GINGIVALE,ACIDE GLYCYRRHETINIQUE (ENOXOLONE),ORL-STOMATOLOGIE,NOVOPHARMA,Non Commercialisé,AMM ENREGISTREE,TUBE DE 80 G,GN,"18,90 DH","11,80 DH","11,24 DH",0%,-,40
ARTINIBSA,"40   MG  /   ML + 0,01   MG  /   ML","SOLUTION INJECTABLE EN CARTOUCHE DE 1,8 ML",ARTICAINE (CHLORHYDRATE) // ADRENALINE (CHLORHYDRATE),ANESTHESIE-REANIMATION,HEMOLAB PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 50,NA,"313,00 DH","208,00 DH","198,13 DH",0%,-,40
ARTOTEC,"50   MG  /  0,2   MG",COMPRIME,DICLOFENAC // MISOPROSTOL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 30,PP,"95,00 DH","59,20 DH","52,85 DH",0%,-,40
ARTOTEC,"75   MG  /  0,2   MG",COMPRIME,DICLOFENAC // MISOPROSTOL,NA,PFIZER,Retiré du Marché,AMM RETIREE,BOITE DE 20,PP,"90,00 DH","56,10 DH","50,07 DH",0%,-,40
ARTROFOR,"1,5G",POUDRE POUR SOLUTION BUVABLE EN SACHET,GLUCOSAMINE SULPHATE,RHUMATOLOGIE,ZENITH PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 30 SACHETS,GN,"129,90 DH","81,20 DH","77,33 DH",0%,-,40
ARTYX,"7,5   MG",COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"27,10 DH","16,90 DH","16,14 DH",0%,-,40
ARTYX,"7,5   MG",COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"49,70 DH","31,00 DH","29,57 DH",0%,-,40
ARTYX,15   MG,COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"37,10 DH","23,20 DH","22,10 DH",0%,-,40
ARTYX,15   MG,COMPRIME,MELOXICAM,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"72,60 DH","45,40 DH","43,21 DH",0%,-,40
ARULATAN,50 µG  /   ML,COLLYRE EN SOLUTION,LATANOPROST,OPHTALMOLOGIE,ZENITH PHARMA,Non Commercialisé,AMM ENREGISTREE,"FLACON DE 2,5 ML",GN,"88,20 DH","55,10 DH","52,48 DH",0%,-,40
ARWACIDE,5 L,SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE,CHLORURE DE SODIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM DIHYDRATE // CHLORURE DE POTASSIUM // GLUCOSE MONOHYDRATE,UROLOGIE-NEPHROLOGIE,ARWA MEDIC,Commercialisé,AMM ENREGISTREE,BIDON DE 5 L,GN,"69,70 DH","43,60 DH","41,50 DH",0%,-,40
ARWACIDE,1000L,"SOLUTION CONCENTREE ACIDE POUR HEMODIALYSE, CUVE DE 1000L",CHLORURE DE SODIUM // CHLORURE DE MAGNESIUM // CHLORURE DE CALCIUM DIHYDRATE // CHLORURE DE POTASSIUM // GLUCOSE MONOHYDRATE,UROLOGIE-NEPHROLOGIE,ARWA MEDIC,Commercialisé,AMM ENREGISTREE,CUVE DE 1000 LITRES,GN,6.539.00 DH,6.320.00 DH,6.019.20 DH,0%,-,40
ARYOSEVEN TM,"1,2   MG",POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,EPTACOG ALFA,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,PHARMIS,Non Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON DE POUDRE ET UN FLACON DE SOLVANT,BS,4.792.00 DH,4.521.00 DH,4.306.08 DH,0%,-,41
ASAFARM,500   MG,COMPRIME,ACIDE ACETYLSALICYLIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PHARMA 5,Commercialisé AO,AMM ENREGISTREE,BOITE DE 20,GN,"6,30 DH","3,90 DH","3,76 DH",0%,-,41
ASCABIOL,10 G  /  2 G,LOTION,BENZOATE DE BENZYLE // SULFIRAME,DERMATOLOGIE-VENEROLOGIE,POLYMEDIC,Commercialisé,AMM ENREGISTREE,FLACON DE 150 ML,PP,"17,00 DH","10,60 DH","10,15 DH",0%,Consulter le document,41
ASCAL 100,120   MG,SACHET,CALCIUM CARBASALATE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"13,30 DH","8,30 DH","7,95 DH",0%,-,41
ASCAL 1000,1200   MG,SACHET,CALCIUM CARBASALATE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"35,50 DH","22,20 DH","21,14 DH",0%,-,41
ASCAL 250,300   MG,SACHET,CALCIUM CARBASALATE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"18,90 DH","11,80 DH","11,23 DH",0%,-,41
ASCAL 500,600   MG,SACHET,CALCIUM CARBASALATE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"23,00 DH","14,40 DH","13,68 DH",0%,-,41
ASIMPLEX,250   MG,POUDRE IYOPHILISEE POUR SOLUTION POUR PERFUSION,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE,PHARMAPROM,Commercialisé,AMM ENREGISTREE,BOITE D'UN FLACON,GN,"104,10 DH","65,10 DH","61,97 DH",0%,-,41
ASKARDIL,160   MG,COMPRIME DISPERSIBLE,ACIDE ACETYLSALICYLIQUE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"23,80 DH","14,80 DH","14,16 DH",0%,-,41
ASKARDIL,75   MG,COMPRIME DISPERSIBLE,ACIDE ACETYLSALICYLIQUE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,LAPROPHAN,Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"22,40 DH","14,00 DH","13,33 DH",0%,-,41
ASKARDIL,100  MG,COMPRIMES DISPERSIBLES,ACIDE ACETYLSALICYLIQUE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"23,60 DH","14,70 DH","14,04 DH",0%,-,41
ASPAC,500   MG  /  240   MG,COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MC PHARMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,GN,"10,30 DH","6,40 DH","6,12 DH",0%,-,41
ASPEGIC,500   MG  /  5  ML,POUDRE INJECTABLE,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,ARWA MEDIC,Commercialisé AO,AMM ENREGISTREE,BOITE DE 6 FLACONS,PP,"53,30 DH","33,30 DH","31,71 DH",0%,-,41
ASPEGIC,500   MG,SACHET,ACETYLSALICYLATE DE LYSINE,NA,SANOFI AVENTIS,Retiré du Marché,AMM RETIREE,BOITE DE 12,PP,"18,00 DH","11,20 DH","10,01 DH",0%,-,41
ASPEGIC,500   MG,SACHET,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"25,50 DH","15,90 DH","15,16 DH",0%,-,41
ASPEGIC AD,1000   MG  /  5  ML,POUDRE INJECTABLE,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Non Commercialisé,AMM ENREGISTREE,BOITE DE 6 FLACONS,PP,"76,20 DH","47,60 DH","45,39 DH",0%,-,41
ASPEGIC AD,1000   MG,SACHET,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"28,80 DH","18,00 DH","17,13 DH",0%,-,41
ASPEGIC AD,1000   MG,SACHET,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"57,10 DH","35,70 DH","33,99 DH",0%,-,41
ASPEGIC ENF,250   MG,SACHET,ACETYLSALICYLATE DE LYSINE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"20,30 DH","12,70 DH","12,10 DH",0%,-,41
ASPEGIC NOUR,100   MG,SACHET,ACETYLSALICYLATE DE LYSINE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SANOFI AVENTIS,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"20,40 DH","12,70 DH","12,12 DH",0%,-,41
"ASPIRINE 0,5 G PROMOPHARM","0,5 G",COMPRIME,ACIDE ACETYLSALICYLIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PROMOPHARM,AMM sans prix,AMM ENREGISTREE,BOITE DE 100,-,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,42
ASPIRINE BAYER,500   MG,COMPRIME A CROQUER,ACIDE ACETYLSALICYLIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,BAYER,Non Commercialisé,AMM ENREGISTREE,BOITE DE 10,PP,"10,10 DH","6,30 DH","6,04 DH",0%,-,42
ASPIRINE VITAMINEE B1C DEROL,"0,4 G  /  0,02 G  /  0,00214 G",COMPRIME,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (CHLORURE DE MONOPHOSPHOTHIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"10,60 DH","6,60 DH","6,31 DH",0%,-,42
ASPIRINE VITAMINEE B1C DEROL,"0,4 G  /  0,02 G  /  0,00214 G",COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE // VITAMINE B1 (CHLORURE DE MONOPHOSPHOTHIAMINE) // VITAMINE C (ACIDE ASCORBIQUE),ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,MAPHAR,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"16,70 DH","10,40 DH","9,93 DH",0%,-,42
ASPRO,500   MG,COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,BAYER,Commercialisé,AMM ENREGISTREE,BOITE DE 20,PP,"15,90 DH","9,90 DH","9,46 DH",0%,-,42
ASPRO,500   MG,COMPRIME EFFERVESCENT,ACIDE ACETYLSALICYLIQUE,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,BAYER,Commercialisé,AMM ENREGISTREE,BOITE DE 4,PP,"4,70 DH","2,90 DH","2,80 DH",0%,-,42
ASTAPH,1 G,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON ET 1 AMPOULE DE SOLVANT,GN,"18,60 DH","11,60 DH","11,07 DH",0%,-,42
ASTAPH,125   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 100 ML,GN,"27,70 DH","17,30 DH","16,47 DH",0%,-,42
ASTAPH,125   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 60 ML,GN,"19,50 DH","12,20 DH","11,63 DH",0%,-,42
ASTAPH,250   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 100 ML,GN,"56,30 DH","35,20 DH","33,49 DH",0%,-,42
ASTAPH,250   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,FLACON DE 60 ML,GN,"37,70 DH","23,50 DH","22,42 DH",0%,-,42
ASTAPH,500   MG,GELULE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 12,GN,"46,70 DH","29,20 DH","27,81 DH",0%,-,42
ASTAPH,500   MG,GELULE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 24,GN,"84,80 DH","53,00 DH","50,51 DH",0%,-,42
ASTAPH,250   MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON ET 1 AMPOULE DE SOLVANT,GN,"8,60 DH","5,40 DH","5,12 DH",0%,-,42
ASTAPH,500   MG,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,Commercialisé,AMM ENREGISTREE,BOITE DE 1 FLACON ET 1 AMPOULE DE SOLVANT,GN,"11,00 DH","6,90 DH","6,54 DH",0%,-,42
ASTAPH,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,FLACON DE 100 ML,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,42
ASTAPH,500   MG  /  5  ML,POUDRE POUR SUSPENSION BUVABLE,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE,PHARMA 5,AMM sans prix,AMM ENREGISTREE,FLACON DE 60 ML,GN,SANSPPV DH,SANSPH DH,SANSPFHT DH,0%,-,42
ASTHALIN,100 UG  /  DOSE,SUSPENSION POUR INHALATION EN FLACON PRESSURISE DE 200 DOSES,SALBUTAMOL (SULFATE),PNEUMOLOGIE-ALLERGOLOGIE,CIPLA,Commercialisé,AMM ENREGISTREE,BOITE D’UN FLACON DE 200 DOSES.,GN,"37,00 DH","23,10 DH","22,02 DH",0%,-,42
ASUMATE,100 µg  /  20 µG,COMPRIME PELLICULE,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,BOTTU,Commercialisé AO,AMM ENREGISTREE,BOITE DE 126,GN,"246,00 DH","153,90 DH","146,61 DH",0%,-,42
ASUMATE,100 µg  /  20 µG,COMPRIME PELLICULE,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,BOTTU,Commercialisé AO,AMM ENREGISTREE,BOITE DE 63,GN,"126,10 DH","78,80 DH","75,05 DH",0%,-,42
ASUMATE,100 µg  /  20 µG,COMPRIME PELLICULE,LEVONORGESTREL // ETHINYLESTRADIOL,GYNECOLOGIE-OBSTETRIQUE-CONTRACEPTION,BOTTU,Commercialisé,AMM ENREGISTREE,BOITE DE 21,GN,"48,90 DH","30,50 DH","29,09 DH",0%,-,43
ATACAND,16   MG,COMPRIME SECABLE,CANDESARTAN CILEXETIL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"165,50 DH","103,40 DH","98,50 DH",0%,-,43
ATACAND,4   MG,COMPRIME SECABLE,CANDESARTAN CILEXETIL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"119,50 DH","74,70 DH","71,11 DH",0%,-,43
ATACAND,8   MG,COMPRIME SECABLE,CANDESARTAN CILEXETIL,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,SYNTHEMEDIC,Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"127,70 DH","79,80 DH","75,99 DH",0%,-,43
ATAMEL,500   MG,COMPRIME,PARACETAMOL,ANTALGIQUES-ANALGESIQUES-ANTIPYRETIQUES-ANTI-INFLAMMATOIRES-ANTISPASMODIQUES,PFIZER,Non Commercialisé,AMM ENREGISTREE,BOITE DE 20,GN,"7,00 DH","4,40 DH","3,89 DH",0%,-,43
ATANOST,"0,05   MG  /  ML",COLLYRE EN SOLUTION,LATANOPROST,OPHTALMOLOGIE,PHI,Non Commercialisé,AMM ENREGISTREE,"BOITE D’UN FLACON COMPTE - GOUTTES DE 2,5 ML",GN,"83,20 DH","52,00 DH","49,50 DH",0%,-,43
ATANOSTIM,50 µG   /   ML + 5   MG  /   ML,COLLYRE EN SOLUTION,LATANOPROST // TIMOLOL,OPHTALMOLOGIE,PHI,Non Commercialisé,AMM ENREGISTREE,"BOITE DE 5 ML CONTENANT  FLACON DE 2,5 ML DE SOLUTION",GN,"83,70 DH","52,30 DH","49,82 DH",0%,-,43
ATARAX,100   MG,SOLUTION POUR USAGE PARENTERAL,HYDROXYZINE (DICHLORHYDRATE),NA,SOTHEMA,Retiré du Marché,AMM RETIREE,BOITE DE 6 AMP,PP,"42,20 DH","26,40 DH","25,13 DH",0%,-,43
ATARAX,2   MG,SIROP,HYDROXYZINE (DICHLORHYDRATE),PSYCHIATRIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,FLACON DE 200ML,PP,"16,10 DH","10,10 DH","9,60 DH",0%,-,43
ATARAX,25   MG,COMPRIME,HYDROXYZINE (DICHLORHYDRATE),PSYCHIATRIE,SOTHEMA,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,PP,"27,20 DH","17,00 DH","16,19 DH",0%,-,43
ATECLOR,"50   MG  /  12,5   MG",COMPRIME PELLICULE,ATENOLOL // CHLORTALIDONE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 30,GN,"47,70 DH","29,80 DH","28,38 DH",0%,-,43
ATECLOR,"50   MG  /  12,5   MG",COMPRIME PELLICULE,ATENOLOL // CHLORTALIDONE,CARDIOLOGIE-ANGEIOLOGIE-HEMATOLOGIE,LAPROPHAN,Non Commercialisé,AMM ENREGISTREE,BOITE DE 90,GN,"123,00 DH","76,90 DH","73,21 DH",0%,-,43
