nom,dci,dosage,forme,presentation,laboratoire,classe_therapeutique,type_produit,statut_commercialisation,statut_amm,ppv,ph,pfht,tva,code_cnops,prix_base_remboursement_cnops,taux_remboursement_cnops,source
ONIFINE,TERBINAFINE,0.01,SOLUTION POUR PULVERISATION CUTANEE,FLACON DE 30 ML,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,52.3,32.7,31.15,0.0,,,,ammps
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 14,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,123.4,77.1,73.43,0.0,6118010116384,237.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 14,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,123.4,77.1,73.43,0.0,6118001151035,237.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 14,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,123.4,77.1,73.43,0.0,6118010116353,132.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 14,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Non Commercialisé,AMM ENREGISTREE,123.4,77.1,73.43,0.0,6118001151028,132.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 28,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,221.0,138.4,131.84,0.0,6118010116384,237.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 28,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,221.0,138.4,131.84,0.0,6118001151035,237.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 28,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,221.0,138.4,131.84,0.0,6118010116353,132.0,70.0,ammps+cnops
ONIFINE,TERBINAFINE,250 MG,COMPRIME,BOITE DE 28,PHI,DERMATOLOGIE-VENEROLOGIE,GN,Commercialisé,AMM ENREGISTREE,221.0,138.4,131.84,0.0,6118001151028,132.0,70.0,ammps+cnops
ONIFINE 1%,TERBINAFINE,1 %,CREME,1 TUBE 15 G,,,GENERIQUE,,,,,,,6118000051152,34.0,70.0,cnops
ONIFINE 1%,TERBINAFINE,1 %,CREME,1 TUBE 15 G,,,GENERIQUE,,,,,,,6118000051169,58.0,70.0,cnops
ONIFINE 1%,TERBINAFINE,1 %,SOLUTION POUR APPLICATION LOCALE,1 FLACON 30 ML,,,GENERIQUE,,,,,,,6118001151271,56.0,70.0,cnops
ONIVYDE PEGYLATED LIPOSOMAL,IRINOTECAN,"4,3 MG / ML",DISPERSION A DILUER POUR PERFUSION,FLACON DE 10 ML,SERVIER,CANCEROLOGIE,PP,Commercialisé,AMM ENREGISTREE,9645.0,9463.0,9063.92,0.0,,,,ammps
