code,laboratoire,nom,dci,dosage,unite_dosage,forme,presentation,ppv,ph,ppv_br,princeps_generique_code,classe_therapeutique,taux_remboursement_cnss,dosage_text,join_key
6118000010852,MAPHAR,INTETRIX,TILIQUINOL,50 ,MG,GELULE,1 BOITE 20 GELULE,31.7,19.8,31.7,A,ANTIPARASITAIRE,70,50 MG,INTETRIX|50MG|GELULE
6118000280088,STERIPHARMA,INTRALGIS,IBUPROFENE,200,MG,COMPRIME PELLICULE,1 BOITE 20 COMPRIME,21.2,13.3,21.2,N,ANTI-INFLAMMATOIRE NON STEROIDIEN,70,200 MG,INTRALGIS|200MG|COMPRIMEPELLICULE
6118000280095,STERIPHARMA,INTRALGIS SUSPENSION PEDIATRIQUE,IBUPROFENE,2,%,SUSPENSION BUVABLE,1 FLACON 150 ML,20.6,12.8,20.6,N,ANTI-INFLAMMATOIRE NON STEROIDIEN,70,2 %,INTRALGISSUSPENSIONPEDIATRIQUE|2|SUSPENSIONBUVABLE
6118001160426,MSD,INVANZ,ERTAPENEME,1,G,POUDRE POUR PERFUSION,1 FLACON 20 ML,566.0,376.0,566.0,A,ANTIBACTERIEN,70,1 G,INVANZ|1G|POUDREPOURPERFUSION
6118000021513,SOTHEMA,IONAX T,COAL TAR,4 ,%,SOLUTION POUR APPLICATION LOCALE,1 FLACON 200 ML,86.0,53.7,86.0,C,PRODUITS ANTIPSIORATIQUES TOPIQUES,0,4 %,IONAXT|4|SOLUTIONPOURAPPLICATIONLOCALE
6118000021513,SOTHEMA,IONAX T,ACIDE SALICYLIQUE, 2,G,SOLUTION POUR APPLICATION LOCALE,1 FLACON 200 ML,86.0,53.7,86.0,C,PRODUITS ANTIPSIORATIQUES TOPIQUES,0,2 G,IONAXT|2G|SOLUTIONPOURAPPLICATIONLOCALE
6118001070312,SOTHEMA,IOPIDINE,APRACLONIDINE,"0,5",%,COLLYRE,1 FLACON 5 ML,143.3,89.5,143.3,A,ANTIGLAUCOMATEUX,70,"0,5 %",IOPIDINE|0.5|COLLYRE
6118001260287,PROMOPHARM,IPERTEN,MANIDIPINE,20,MG,COMPRIME,1 BOITE 28 COMPRIME,152.0,95.0,,A,INHIBITEUR CALCIQUE,0,20 MG,IPERTEN|20MG|COMPRIME
6118010133336,SOTHEMA,IPNODIS,MIDAZOLAM,5,MG/5ML,SOLUTION INJECTABLE,10 AMPOULE 5 ML,121.5,75.9,121.5,A,HYPNOTIQUE ET SEDATIF,0,5 MG/5ML,IPNODIS|5MG5ML|SOLUTIONINJECTABLE
6118000070870,AFRIC-PHAR,IPOSEC,LANSOPRAZOLE,30,MG,GELULE GASTRO-RESISTANTE,1 BOITE 15 GELULE GASTRO-RESISTANTE,55.1,34.5,55.1,C,INHIBITEUR DE LA POMPE A PROTON,70,30 MG,IPOSEC|30MG|GELULEGASTRORESISTANTE
6118000070887,AFRIC-PHAR,IPOSEC,LANSOPRAZOLE,30,MG,GELULE GASTRO-RESISTANTE,1 BOITE 30 GELULE GASTRO-RESISTANTE,111.2,69.5,111.2,C,INHIBITEUR DE LA POMPE A PROTON,70,30 MG,IPOSEC|30MG|GELULEGASTRORESISTANTE
6118000191049,GALENICA,IPP,OMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 28 GELULE,88.8,55.5,88.8,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPP|20MG|GELULEGASTRORESISTANTE
6118000191766,GALENICA,IPP,OMEPRAZOLE,20,MG,GELULE,1 BOITE 7 GELULE,20.6,12.8,20.6,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPP|20MG|GELULE
6118000191773,GALENICA,IPP,OMEPRAZOLE,20,MG,GELULE,1 BOITE 56 GELULE,129.0,80.6,129.0,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPP|20MG|GELULE
6118000190547,GALENICA,IPP,OMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 14 GELULE,49.3,30.8,49.3,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPP|20MG|GELULEGASTRORESISTANTE
6118000023517,SOTHEMA,IPRADIA LP 1000 MG,METFORMINE,1000,MG,COMPRIME LP,1 BOITE 30 COMPRIME A LP,25.1,15.7,25.1,A,ANTIDIABETIQUE,70,1000 MG,IPRADIALP1000MG|1000MG|COMPRIMELP
6118000023500,SOTHEMA,IPRADIA LP 500 MG,METFORMINE,500,MG,COMPRIME LP,1 BOITE 30 COMPRIME A LP,12.9,8.0,12.9,A,ANTIDIABETIQUE,70,500 MG,IPRADIALP500MG|500MG|COMPRIMELP
6118001230280,HEMOLAB,IPRATROPIUM AGUETTANT ADULTES,IPRATROPIUM,0.5,MG/2ML,SOLUTION POUR INHALATION,1 BOITE 10 RECIPIENT UNIDOSE,57.6,36.0,,A,ANTICHOLINERGIQUE,0,0.5 MG/2ML,IPRATROPIUMAGUETTANTADULTES|0.5MG2ML|SOLUTIONPOURINHALATION
6118010136689,HEMOLAB,IPRATROPIUM AGUETTANT ENFANTS,IPRATROPIUM,0.25 ,MG/ML,SOLUTION POUR INHALATION,1 BOITE 10 RECIPIENT UNIDOSE,40.3,25.2,,A,ANTICHOLINERGIQUE,0,0.25 MG/ML,IPRATROPIUMAGUETTANTENFANTS|0.25MGML|SOLUTIONPOURINHALATION
6118000332015,ZENITH PHARMA,IPREL,ENALAPRIL,20,MG,COMPRIME ORODISPERSIBLE,1 BOITE 30 COMPRIME ORODISPERSIBLE,71.2,44.5,71.2,A,INHIBITEUR DE L ENZYME DE CONVERSION,70,20 MG,IPREL|20MG|COMPRIMEORODISPERSIBLE
6118001071531,SOTHEMA,IPROST LP,ALFUZOSINE,10,MG,COMPRIME LP,1 BOITE 10 COMPRIME A LP,52.3,32.7,52.3,A,ALPHA-BLOQUANT,70,10 MG,IPROSTLP|10MG|COMPRIMELP
6118001071548,SOTHEMA,IPROST LP,ALFUZOSINE,10,MG,COMPRIME LP,1 BOITE 30 COMPRIME A LP,137.8,86.1,137.8,A,ALPHA-BLOQUANT,70,10 MG,IPROSTLP|10MG|COMPRIMELP
6118000121343,POLYMEDIC,IPSIUM 20 MG,ESOMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 14 GELULE GASTRO-RESISTANTE,55.2,34.5,55.2,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPSIUM20MG|20MG|GELULEGASTRORESISTANTE
6118000121350,POLYMEDIC,IPSIUM 20 MG,ESOMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 28 GELULE GASTRO-RESISTANTE,102.8,64.3,102.8,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPSIUM20MG|20MG|GELULEGASTRORESISTANTE
6118000121336,POLYMEDIC,IPSIUM 20 MG,ESOMEPRAZOLE,20,MG,GELULE GASTRO-RESISTANTE,1 BOITE 7 GELULE GASTRO-RESISTANTE,30.9,19.3,30.9,C,INHIBITEUR DE LA POMPE A PROTON,70,20 MG,IPSIUM20MG|20MG|GELULEGASTRORESISTANTE
6118000121374,POLYMEDIC,IPSIUM 40 MG,ESOMEPRAZOLE,40,MG,GELULE GASTRO-RESISTANTE,1 BOITE 14 GELULE GASTRO-RESISTANTE,101.0,63.1,101.0,C,INHIBITEUR DE LA POMPE A PROTON,70,40 MG,IPSIUM40MG|40MG|GELULEGASTRORESISTANTE
6118000121381,POLYMEDIC,IPSIUM 40 MG,ESOMEPRAZOLE,40,MG,GELULE GASTRO-RESISTANTE,1 BOITE 28 GELULE GASTRO-RESISTANTE,196.3,122.7,196.3,C,INHIBITEUR DE LA POMPE A PROTON,70,40 MG,IPSIUM40MG|40MG|GELULEGASTRORESISTANTE
6118000121367,POLYMEDIC,IPSIUM 40 MG,ESOMEPRAZOLE,40,MG,GELULE GASTRO-RESISTANTE,1 BOITE 7 GELULE GASTRO-RESISTANTE,55.2,34.5,55.2,C,INHIBITEUR DE LA POMPE A PROTON,70,40 MG,IPSIUM40MG|40MG|GELULEGASTRORESISTANTE
6118000380573,SUN PHARMACEUTICALS MOROCCO LLC,IRBESAR SUN 150 MG,IRBESARTAN,150,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,108.7,67.9,108.7,A,ANTIHYPERTENSEUR,70,150 MG,IRBESARSUN150MG|150MG|COMPRIMEPELLICULE
6118000380566,SUN PHARMACEUTICALS MOROCCO LLC,IRBESAR SUN 150 MG,IRBESARTAN,150,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,60.9,38.0,60.9,A,ANTIHYPERTENSEUR,70,150 MG,IRBESARSUN150MG|150MG|COMPRIMEPELLICULE
6118000380580,SUN PHARMACEUTICALS MOROCCO LLC,IRBESAR SUN 300 MG,IRBESARTAN,300,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,84.8,53.0,84.8,A,ANTIHYPERTENSEUR,70,300 MG,IRBESARSUN300MG|300MG|COMPRIMEPELLICULE
6118000380597,SUN PHARMACEUTICALS MOROCCO LLC,IRBESAR SUN 300 MG,IRBESARTAN,300,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,150.8,94.3,150.8,A,ANTIHYPERTENSEUR,70,300 MG,IRBESARSUN300MG|300MG|COMPRIMEPELLICULE
6118001184637,MAPHAR,IRBEWIN,IRBESARTAN,300,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,190.0,118.7,,A,ANTIHYPERTENSEUR,0,300 MG,IRBEWIN|300MG|COMPRIMEPELLICULE
6118001184606,MAPHAR,IRBEWIN,IRBESARTAN,150,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME,60.9,38.0,,A,ANTIHYPERTENSEUR,0,150 MG,IRBEWIN|150MG|COMPRIMEPELLICULE
6118001184620,MAPHAR,IRBEWIN,IRBESARTAN,300,MG,COMPRIME PELLICULE,1 BOITE 14 COMPRIME PELLICULE,105.0,65.6,,A,ANTIHYPERTENSEUR,0,300 MG,IRBEWIN|300MG|COMPRIMEPELLICULE
6118001184613,MAPHAR,IRBEWIN,IRBESARTAN,150,MG,COMPRIME PELLICULE,1 BOITE 28 COMPRIME PELLICULE,108.7,67.9,,A,ANTIHYPERTENSEUR,0,150 MG,IRBEWIN|150MG|COMPRIMEPELLICULE
6118001184248,MAPHAR,IRESSA 250 MG,GEFITINIB,250,MG,COMPRIME PELLICULE,1 BOITE 30 COMPRIME PELLICULE,9355.0,9180.0,9355.0,A,ANTINEOPLASIQUE ET IMMUNOMODULATEUR,70,250 MG,IRESSA250MG|250MG|COMPRIMEPELLICULE
6118001151059,PHI,IRINOCYT 100 MG/5ML,IRINOTECAN,100,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 5 ML,1313.0,1043.0,1313.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,100 MG,IRINOCYT100MG5ML|100MG|SOLUTIONADILUERPOURPERFUSION
6118001151042,PHI,IRINOCYT 40 MG/2ML,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,533.0,354.0,533.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOCYT40MG2ML|40MG|SOLUTIONADILUERPOURPERFUSION
6118001330911,AMANYS PHARMA,IRINOTEA 20 MG/ML,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,520.0,345.0,520.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOTEA20MGML|40MG|SOLUTIONADILUERPOURPERFUSION
6118001330928,AMANYS PHARMA,IRINOTEA 20 MG/ML,IRINOTECAN,100,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 5 ML,1313.0,1043.0,1313.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,100 MG,IRINOTEA20MGML|100MG|SOLUTIONADILUERPOURPERFUSION
6118001101450,COOPER MAROC,IRINOTECAN COOPER,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,506.0,336.0,506.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOTECANCOOPER|40MG|SOLUTIONADILUERPOURPERFUSION
6118001101467,COOPER MAROC,IRINOTECAN COOPER,IRINOTECAN,100,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 5 ML,1096.0,819.0,1096.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,100 MG,IRINOTECANCOOPER|100MG|SOLUTIONADILUERPOURPERFUSION
6118001370108,RIM,IRINOTECAN KABI 20 MG/ML,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,506.0,336.0,506.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOTECANKABI20MGML|40MG|SOLUTIONADILUERPOURPERFUSION
6118001370115,RIM,IRINOTECAN KABI 20 MG/ML,IRINOTECAN,100,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 5 ML,1166.0,892.0,1166.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,100 MG,IRINOTECANKABI20MGML|100MG|SOLUTIONADILUERPOURPERFUSION
6118001350018,PHARMAPROM,IRINOTECAN MYLAN 20 MG/ML,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,450.0,299.0,450.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOTECANMYLAN20MGML|40MG|SOLUTIONADILUERPOURPERFUSION
6118001430147,MYLAN PHARMACEUTICALS,IRINOTECAN MYLAN 20 MG/ML,IRINOTECAN,300,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 15 ML,1418.0,1150.0,1418.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,300 MG,IRINOTECANMYLAN20MGML|300MG|SOLUTIONADILUERPOURPERFUSION
6118001430123,MYLAN PHARMACEUTICALS,IRINOTECAN MYLAN 20 MG/ML,IRINOTECAN,40,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 2 ML,450.0,299.0,450.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,40 MG,IRINOTECANMYLAN20MGML|40MG|SOLUTIONADILUERPOURPERFUSION
6118001350032,PHARMAPROM,IRINOTECAN MYLAN 20 MG/ML,IRINOTECAN,300,MG,SOLUTION A DILUER POUR PERFUSION,1 FLACON 15 ML,1418.0,1150.0,1418.0,A,ANTINEOPLASIQUE CYTOTOXIQUE,70,300 MG,IRINOTECANMYLAN20MGML|300MG|SOLUTIONADILUERPOURPERFUSION
